"player_id","player","week","position","stock_value","stock_change","last_game_delta","avg_epa","yards","tds","espnId"
"16737","Mike Evans","7","WR","0.0","0.0","0.0","0.0","0.0","0","16737"
"4034779","Ko Kieft","7","TE","0.0","0.0","0.0","0.0","0.0","0","4034779"
"4430834","Jalen McMillan","7","WR","0.0","0.0","0.0","0.0","0.0","0","4430834"
"4581750","Jaden Smith","7","WR","0.0","0.0","0.0","0.0","0.0","0","4581750"
"4426444","Connor Bazelak","7","QB","0.0","0.0","0.0","0.0","0.0","0","4426444"
"4429847","Garrett Greene","7","WR","0.0","0.0","0.0","0.0","0.0","0","4429847"
"4572786","Dennis Houston","7","WR","0.0","0.0","0.0","0.0","0.0","0","4572786"
"4035198","Brandon Johnson","7","WR","0.0","0.0","0.0","0.0","0.0","0","4035198"
"4248052","Tanner Taula","7","TE","0.0","0.0","0.0","0.0","0.0","0","4248052"
"4569156","Michael Wiley","7","RB","0.0","0.0","0.0","0.0","0.0","0","4569156"
"4249616","Owen Wright","7","RB","0.0","0.0","0.0","0.0","0.0","0","4249616"
"4048228","John Bates","7","TE","0.0","0.0","0.0","0.0","0.0","0","4048228"
"4575131","Jacory Croskey-Merritt","7","RB","0.0","0.0","0.0","0.0","0.0","0","4575131"
"15835","Zach Ertz","7","TE","0.0","0.0","0.0","0.0","0.0","0","15835"
"11394","Josh Johnson","7","QB","0.0","0.0","0.0","0.0","0.0","0","11394"
"4602667","Jaylin Lane","7","WR","0.0","0.0","0.0","0.0","0.0","0","4602667"
